RECORD_NUMBER,ACCOUNT_NUMBER,ACCOUNT_TYPE,ACCOUNT_CUSTOMER_ID,ACCOUNT_LIMIT,ACCOUNT_OPEN_DATE,ACCOUNT_BALANCE
1,1000234937,CREDIT,1,500000,11/16/2023 09:32:00,11705.723634606600
2,8343623821,CHECKING,2,500000,11/17/2023 1:00:00,12564.097689123400
3,3938452736,SAVING,3,800000,11/18/2023 21:22:00,12157.308274284300
4,3647251837,CHECKING,4,500000,11/19/2023 9:11:00,14482.37083313420
5,7825426352,SAVING,4,100000,11/20/2023 8:23:00,11337.801973529500
6,9018263472,CHECKING,5,500000,11/21/2023 9:00:00,14108.508384573100
7,1624537162,CHECKING,5,500000,11/22/2023 1:43:00,12683.335428609700
8,6724362718,SAVING,6,500000,11/23/2023 3:00:00,12561.632538224200
9,9273542736,SAVING,7,200000,11/24/2023 18:32:00,12032.680954724100
10,1625372817,CREDIT,8,500000,11/25/2023 9:01:00,12348.86418486860
