CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_SURNAME,CUSTOMER_ADDRESS,CUSTOMER_ZIP_CODE,CUSTOMER_NATIONAL_ID,CUSTOMER_BIRTH_DATE
CUSTOMER_ID_1,Customer1,Surname1,Address1,ZIP12345,NID123456789,2023-11-16
CUSTOMER_ID_2,Customer2,Surname2,Address2,ZIP23456,NID234567890,2023-11-16
CUSTOMER_ID_3,Customer3,Surname3,Address3,ZIP34567,NID345678901,2023-11-16
CUSTOMER_ID_4,Customer4,Surname4,Address4,ZIP45678,NID456789012,2023-11-16
CUSTOMER_ID_5,Customer5,Surname5,Address5,ZIP56789,NID567890123,2023-11-16
CUSTOMER_ID_6,Customer6,Surname6,Address6,ZIP67890,NID678901234,2023-11-16
CUSTOMER_ID_7,Customer7,Surname7,Address7,ZIP78901,NID789012345,2023-11-16
CUSTOMER_ID_8,Customer8,Surname8,Address8,ZIP89012,NID890123456,2023-11-16
CUSTOMER_ID_9,Customer9,Surname9,Address9,ZIP90123,NID901234567,2023-11-16
CUSTOMER_ID_10,Customer10,Surname10,Address10,ZIP01234,NID012345678,2023-11-16
