CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_SURNAME,CUSTOMER_ADDRESS,CUSTOMER_ZIP_CODE,CUSTOMER_NATIONAL_ID,CUSTOMER_BIRTH_DATE
1,Ethan,Reynolds,"123 Pine Street, Meadowville, CA 90210",ZIP12345,NID123456789,2023-11-16
2,Olivia,Martinez,"456 Oak Avenue, Riverdale Heights, NY 10001",ZIP23456,NID234567890,2012-11-16
3,Sebastian,Harper,"789 Maple Lane, Harmony Springs, TX 75002",ZIP34567,NID345678901,1998-11-16
4,Zoe,Rodriguez,"101 Elm Court, Lakeside Park, FL 33123",ZIP45678,NID456789012,1960-11-16
5,Isaac,Gallagher,"234 Cedar Road, Sunset Hills, AZ 85003",ZIP56789,NID567890123,1977-1-22
6,Lily,Chen,"567 Birch Boulevard, Tranquil Meadows, OH 44122",ZIP67890,NID678901234,1867-11-16
7,Jackson,Walsh,"890 Willow Place, Serenity Valley, WA 98045",ZIP78901,NID789012345,1721-11-16
8,Maya,Turner,"111 Spruce Avenue, Mountain View Estates, CO 80301",ZIP89012,NID890123456,1976-11-16
9,Caleb,Patel,"222 Ash Street, Whispering Pines, GA 30305",ZIP90123,NID901234567,1976-11-16
10,Ava,Sullivan,"333 Redwood Drive, Sunrise Acres, IL 60611",ZIP01234,NID012345678,1976-01-12
